id,title,difficulty,tags,link
99,Stock buy and sell,Medium,"Arrays, Dynamic Programming, Greedy, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/stock-buy-and-sell-1587115621/1
100,Permutations of a String,Medium,"Strings, Recursion, Backtracking, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/permutations-of-a-given-string2041/1
101,Identical Trees,Easy,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/determine-if-two-trees-are-identical/1
102,First Repeating Element,Easy,"Arrays, Hash, Data Structures",https://www.geeksforgeeks.org/problems/first-repeating-element4018/1
103,First and Last Occurrences,Medium,"Arrays, Binary Search, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/first-and-last-occurrences-of-x3116/1
104,Coin Change (Count Ways),Medium,"Arrays, Dynamic Programming, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/coin-change2448/1
105,Move All Zeroes to End,Easy,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/move-all-zeroes-to-end-of-array0751/1
106,Job Sequencing Problem,Medium,"Dynamic Programming, Greedy, Algorithms",https://www.geeksforgeeks.org/problems/job-sequencing-problem-1587115620/1
107,Print 1 To N Without Loop,Basic,"Recursion, Algorithms",https://www.geeksforgeeks.org/problems/print-1-to-n-without-using-loops-1587115620/1
108,Find Transition Point,Easy,"Arrays, Searching, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/find-transition-point-1587115620/1
109,Product array puzzle,Easy,"Arrays, Data Structures, Algorithms, prefix-sum",https://www.geeksforgeeks.org/problems/product-array-puzzle4525/1
110,Non Repeating Character,Easy,"Hash, Strings, Data Structures",https://www.geeksforgeeks.org/problems/non-repeating-character-1587115620/1
111,Remove Duplicates Sorted Array,Easy,"two-pointer-algorithm, Arrays, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/remove-duplicate-elements-from-sorted-array/1
112,Sum Tree,Medium,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/sum-tree/1
113,Maximum Index,Medium,"Arrays, Data Structures, two-pointer-algorithm",https://www.geeksforgeeks.org/problems/maximum-index-1587115620/1
114,Find Pair Given Difference,Easy,"Sorting, Binary Search, Algorithms",https://www.geeksforgeeks.org/problems/find-pair-given-difference1559/1
115,Wave Array,Easy,"Arrays, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/wave-array-1587115621/1
116,Longest Common Substring,Medium,"Strings, Dynamic Programming, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/longest-common-substring1452/1
117,Topological sort,Medium,"Graph, Data Structures",https://www.geeksforgeeks.org/problems/topological-sort/1
118,Bubble Sort,Easy,"Sorting, Algorithms",https://www.geeksforgeeks.org/problems/bubble-sort/1
119,Rotate a Linked List,Medium,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/rotate-a-linked-list/1
120,Get Min from Stack,Medium,"Stack, Data Structures",https://www.geeksforgeeks.org/problems/get-minimum-element-from-stack/1
121,Search in Rotated Sorted Array,Medium,"Searching, Divide and Conquer, Algorithms",https://www.geeksforgeeks.org/problems/search-in-a-rotated-array4618/1
122,Find Kth Rotation,Easy,"Arrays, Searching, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/rotation4723/1
123,Implement Atoi,Medium,"Strings, Design-Pattern, Data Structures",https://www.geeksforgeeks.org/problems/implement-atoi/1
124,Rearrange Array Alternately,Medium,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/-rearrange-array-alternately-1587115620/1
125,Quick Sort,Medium,"Divide and Conquer, Sorting, Algorithms",https://www.geeksforgeeks.org/problems/quick-sort/1
126,Partition Equal Subset Sum,Medium,"Dynamic Programming, subset, Algorithms",https://www.geeksforgeeks.org/problems/subset-sum-problem2014/1
127,Implement stack using array,Basic,"Arrays, Stack, Data Structures",https://www.geeksforgeeks.org/problems/implement-stack-using-array/1
128,Allocate Minimum Pages,Medium,"Searching, Divide and Conquer, Algorithms",https://www.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1
129,First n Fibonacci,Basic,"Dynamic Programming, Mathematical, Algorithms",https://www.geeksforgeeks.org/problems/print-first-n-fibonacci-numbers1002/1
130,Maximize The Cut Segments,Medium,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/cutted-segments1642/1
131,Chocolate Distribution Problem,Easy,"Sorting, Algorithms",https://www.geeksforgeeks.org/problems/chocolate-distribution-problem3825/1
